Reference, Value, Footprint, Datasheet, Cost QTY: 1, Cost QTY: 1000, Cost QTY: 10000, Cost QTY: 2500, Cost QTY: 5000, Date Created, Date Modified, Description, Designer, Height, Lead-Free ?, MFR, MFR#, Management_ID, Mounting, Package, Pin Count #, RoHS Levels, Status, Tolerance, Type, Vendor, Vendor #, Voltage, _Value_
"M3","D36V50F12","growbox-KiCAD-Modules:D36V50Fx","https://www.pololu.com/file/0J1732/d36v50fx-step-down-voltage-regulator-dimensions.pdf","21.95","*","*","*","*","3/20/2019","3/20/2019","This powerful synchronous switching step-down (or buck) regulator takes an input voltage of up to 50 V and efficiently reduces it to 12 V. The board measures only 1″ × 1″ yet delivers typical maximum continuous output currents between 2.3 A and 6.5 A, depending on the input voltage, which makes it well suited for powering moderate to large loads. An optional enable input with a precise cutoff threshold can be used to put the regulator in a low-power state with a current draw of 10 µA to 20 µA per volt on VIN. The regulator also features reverse voltage protection and a power-good output that indicates when the regulator cannot adequately maintain the output voltage.","AVR","14.02mm","Yes","Pololu","D36V50F12","*","ThroughHole W/ Standoffs","Proprietary PCB Module","12","1","Active","*","DCDC Regulator Module","*","*","50V In 12V OUT","D36V50F12"
"T19","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"C2","UUX1J101MNL1GS","growbox-KiCAD-Capacitors:UUX1J101MNL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uux.pdf","0.63000","0.19803","*","0.18638","0.17474","3/9/2020","3/9/2020","100µF 63V Aluminum Electrolytic Capacitors Radial, Can - SMD  2000 Hrs @ 105°C","AVR","10.5mm","Yes","Nichicon","UUX1J101MNL1GS","*","SMT","*","2","1","Active","20%","Aluminum Electrolytic Cap","Digikey","493-7453-2-ND","63V","100uF"
"U1","SN74AHCT125RGYR","growbox-KiCAD-ICs:SN74AHCT125RGYR","https://www.ti.com/lit/ds/symlink/sn74ahct125.pdf","0.46000","0.14400","0.12400","*","0.13200","3/30/2020","3/30/2020","Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-VQFN (3.5x3.5)","AVR","1mm","Yes","Texas Instruments","SN74AHCT125RGYR","*","SMT","RGY","14","1","Active","*","Logic Buffer","Digikey","296-13910-1-ND","5V","SN74AHCT125RGYR"
"U2","ZXGD3009E6TA","growbox-KiCAD-ICs:SOT-23-6_Handsoldering","https://www.diodes.com/assets/Datasheets/ZXGD3009E6.pdf","0.40000","0.14090","0.12272","*","0.13181","3/31/2020","3/31/2020","Low-Side Gate Driver IC Non-Inverting SOT-26","AVR","*","Yes","Diodes Incorporated","ZXGD3009E6TA","*","SMT","SOT-23-6","6","1","Active","*","GATE DRIVER","Digikey","ZXGD3009E6TADICT-ND","40V","ZXGD3009E6TA"
"C8","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"U5","ZXGD3009E6TA","growbox-KiCAD-ICs:SOT-23-6_Handsoldering","https://www.diodes.com/assets/Datasheets/ZXGD3009E6.pdf","0.40000","0.14090","0.12272","*","0.13181","3/31/2020","3/31/2020","Low-Side Gate Driver IC Non-Inverting SOT-26","AVR","*","Yes","Diodes Incorporated","ZXGD3009E6TA","*","SMT","SOT-23-6","6","1","Active","*","GATE DRIVER","Digikey","ZXGD3009E6TADICT-ND","40V","ZXGD3009E6TA"
"U3","ZXGD3009E6TA","growbox-KiCAD-ICs:SOT-23-6_Handsoldering","https://www.diodes.com/assets/Datasheets/ZXGD3009E6.pdf","0.40000","0.14090","0.12272","*","0.13181","3/31/2020","3/31/2020","Low-Side Gate Driver IC Non-Inverting SOT-26","AVR","*","Yes","Diodes Incorporated","ZXGD3009E6TA","*","SMT","SOT-23-6","6","1","Active","*","GATE DRIVER","Digikey","ZXGD3009E6TADICT-ND","40V","ZXGD3009E6TA"
"U4","ZXGD3009E6TA","growbox-KiCAD-ICs:SOT-23-6_Handsoldering","https://www.diodes.com/assets/Datasheets/ZXGD3009E6.pdf","0.40000","0.14090","0.12272","*","0.13181","3/31/2020","3/31/2020","Low-Side Gate Driver IC Non-Inverting SOT-26","AVR","*","Yes","Diodes Incorporated","ZXGD3009E6TA","*","SMT","SOT-23-6","6","1","Active","*","GATE DRIVER","Digikey","ZXGD3009E6TADICT-ND","40V","ZXGD3009E6TA"
"Q4","IRLML6346TRPBF","growbox-KiCAD-Transistors:SOT-23","https://www.infineon.com/dgdl/irlml6346pbf.pdf?fileId=5546d462533600a401535668a336262e","0.42000","0.10260","0.08978","*","0.09388","4/1/2020","4/1/2020","N-Channel 30V 3.4A (Ta) 1.3W (Ta) Surface Mount Micro3™/SOT-23","AVR","1.12mm","Yes","Infineon Technologies","IRLML6346TRPBF","*","SMT","SOT23","3","1","Active","*","N-Channel MOSFET","Digikey","IRLML6346TRPBFCT-ND","30V","IRLML6346TRPBF"
